Dustin Ackley,Left,0.248584015,0.248584015,0.244937949,0.230639731,0.244937949,0.230639731,0.218283582,0.248584015,
Carlos Beltrán,Both,0.000000000,0.000000000,0.000000000,
Starlin Castro,Right,0.279825737,0.279825737,0.276184338,0.290581162,0.276184338,0.290581162,0.279319606,0.279825737,
Jacoby Ellsbury,Left,0.282942097,0.282942097,0.288349515,0.279285714,0.288349515,0.279285714,0.291891892,0.282942097,
Brett Gardner,Left,0.268584236,0.268584236,0.265945110,0.257367387,0.265945110,0.257367387,0.248922414,0.268584236,
Didi Gregorius,Left,1.000000000,1.000000000,1.000000000,1.000000000,
Chase Headley,Both,0.000000000,0.000000000,0.000000000,0.000000000,
Aaron Hicks,Both,0.000000000,0.000000000,0.000000000,
Brian McCann,Left,0.270351759,0.270351759,0.269076305,0.258404746,0.269076305,0.258404746,0.252358491,0.270351759,
Álex Rodríguez,Right,0.302440987,0.302440987,0.298201165,0.284805389,0.298201165,0.284805389,0.276527331,0.302440987,
Austin Romine,Right,0.180232558,0.180232558,0.194736842,0.256944444,0.194736842,0.256944444,0.265432099,0.180232558,
Mark Teixeira,Both,0.263406263,0.263406263,0.260112010,0.287470449,0.297872340,0.259740260,0.287470449,0.278803870,0.263406263,
Ronald Torreyes,Right,0.265486726,0.265486726,0.288135593,0.181818182,0.288135593,0.181818182,0.244897959,0.265486726,
Mike Aviles,Right,0.263583815,0.263583815,0.259200000,0.267175573,0.259200000,0.267175573,0.259849120,0.263583815,
Miguel Cabrera,Right,0.319412493,0.319412493,0.321958457,0.316731953,0.321958457,0.316731953,0.324250681,0.319412493,
Nick Castellanos,Right,0.262100457,0.262100457,0.265251989,0.263157895,0.265251989,0.263157895,0.271634615,0.262100457,
Tyler Collins,Left,0.250000000,0.250000000,0.264705882,0.173913043,0.264705882,0.173913043,0.277777778,0.250000000,
Anthony Gose,Left,0.242738589,0.242738589,0.251648352,0.192660550,0.251648352,0.192660550,0.225609756,0.242738589,
José Iglesias,Right,0.265850945,0.265850945,0.270152505,0.287917738,0.270152505,0.287917738,0.296568627,0.265850945,
Ian Kinsler,Right,0.270371235,0.270371235,0.266914824,0.305769231,0.266914824,0.305769231,0.291757050,0.270371235,
J.D. Martinez,Right,0.286295006,0.286295006,0.281250000,0.281456954,0.281250000,0.281456954,0.268545994,0.286295006,
Víctor Martínez,Both,0.299887514,0.299887514,0.298457411,0.305852417,0.368421053,0.298158958,0.305852417,0.302558956,0.299887514,
James McCann,Right,0.239919355,0.239919355,0.228464419,0.282511211,0.228464419,0.282511211,0.252873563,0.239919355,
Andrew Romine,Both,0.235008104,0.235008104,0.228426396,0.282352941,0.228426396,0.289156627,0.000000000,0.263888889,0.235008104,
Jarrod Saltalamacchia,Both,0.241151487,0.241151487,0.244487996,0.207958922,0.666666667,0.243866536,0.207958922,0.213980029,0.241151487,
Justin Upton,Right,0.272048262,0.272048262,0.268668831,0.267664173,0.268668831,0.267664173,0.259520451,0.272048262,

Luis Severino,Right,0.253846154,0.253846154,0.254901961,0.253846154,0.254901961,0.253846154,
Jordan Zimmermann,Right,0.260303688,0.260303688,0.248570172,0.260303688,0.248570172,0.260303688,
